"fecha_hora","hallazgo","host","alcance","dns_export_tipo","dns_export_destino","proxy_cloudflare_export","dns_publico","http_codigo","url_final","servidor","cf_ray","cloudflare_detectado","hsts","hsts_valor","x_frame_options","x_frame_options_valor","x_content_type_options","x_content_type_options_valor","content_security_policy","content_security_policy_valor","referrer_policy","referrer_policy_valor","permissions_policy","permissions_policy_valor","cantidad_faltantes","cabeceras_faltantes","resultado","error"
"2026-08-04T13:11:56+00:00","V-05","www.politica-datos-personales.ccsm.org.co","PUBLICO","NO_PROVISTO","","","SIN_RESPUESTA","000","https://www.politica-datos-personales.ccsm.org.co/","","","NO","","","","","","","","","","","","","6","Strict-Transport-Security;X-Frame-Options;X-Content-Type-Options;Content-Security-Policy;Referrer-Policy;Permissions-Policy","ERROR_CONEXION","curl: (6) Could not resolve host: www.politica-datos-personales.ccsm.org.co"
"2026-08-04T13:11:56+00:00","V-05","www.politica-datos-personales.ccsm.org.co","ORIGEN","NO_PROVISTO","","","SIN_RESPUESTA","403","https://www.politica-datos-personales.ccsm.org.co/","Apache","","NO","","","","","","","","","","","","","6","Strict-Transport-Security;X-Frame-Options;X-Content-Type-Options;Content-Security-Policy;Referrer-Policy;Permissions-Policy","NO_CONCLUYENTE_HTTP",""
"2026-08-04T13:11:56+00:00","V-06","bi.ccsm.org.co","PUBLICO","NO_PROVISTO","","","104.26.10.79;104.26.11.79;172.67.75.116;2606:4700:20::681a:b4f;2606:4700:20::ac43:4b74;2606:4700:20::681a:a4f","403","https://bi.ccsm.org.co/","cloudflare","a25dcf92ea89f4e2-IAD","SI","SI","max-age=31536000; includeSubDomains","SI","SAMEORIGIN","SI","nosniff","SI","default-src 'none'; script-src 'nonce-tnaDBSnoVDv5rnvpVIICzr' 'unsafe-eval' https://challenges.cloudflare.com; script-src-attr 'none'; style-src 'unsafe-inline'; img-src 'self' https://challenges.cloudflare.com; connect-src 'self' https://challenges.cloudflare.com; frame-src 'self' https://challenges.cloudflare.com blob:; child-src 'self' https://challenges.cloudflare.com blob:; worker-src blob:; form-action http: https:; base-uri 'self'","SI","same-origin","SI","accelerometer=(),camera=(),clipboard-read=(),clipboard-write=(),geolocation=(),gyroscope=(),hid=(),magnetometer=(),microphone=(),payment=(),publickey-credentials-get=(),screen-wake-lock=(),serial=(),sync-xhr=(),usb=(),xr-spatial-tracking=*","0","","NO_CONCLUYENTE_HTTP",""
"2026-08-04T13:11:56+00:00","V-06","bi.ccsm.org.co","ORIGEN","NO_PROVISTO","","","104.26.11.79;172.67.75.116;104.26.10.79;2606:4700:20::681a:b4f;2606:4700:20::681a:a4f;2606:4700:20::ac43:4b74","200","https://bi.ccsm.org.co/","Apache","","NO","","","","","","","","","","","","","6","Strict-Transport-Security;X-Frame-Options;X-Content-Type-Options;Content-Security-Policy;Referrer-Policy;Permissions-Policy","INCOMPLETO",""
"2026-08-04T13:11:57+00:00","V-07","ns2.ccsm.org.co","PUBLICO","NO_PROVISTO","","","SIN_RESPUESTA","000","https://ns2.ccsm.org.co/","","","NO","","","","","","","","","","","","","6","Strict-Transport-Security;X-Frame-Options;X-Content-Type-Options;Content-Security-Policy;Referrer-Policy;Permissions-Policy","ERROR_CONEXION","curl: (6) Could not resolve host: ns2.ccsm.org.co"
"2026-08-04T13:11:57+00:00","V-07","ns2.ccsm.org.co","ORIGEN","NO_PROVISTO","","","SIN_RESPUESTA","403","https://ns2.ccsm.org.co/","Apache","","NO","","","","","","","","","","","","","6","Strict-Transport-Security;X-Frame-Options;X-Content-Type-Options;Content-Security-Policy;Referrer-Policy;Permissions-Policy","NO_CONCLUYENTE_HTTP",""
"2026-08-04T13:11:57+00:00","V-08","cav.ccsm.org.co","PUBLICO","NO_PROVISTO","","","104.26.10.79;172.67.75.116;104.26.11.79;2606:4700:20::681a:a4f;2606:4700:20::681a:b4f;2606:4700:20::ac43:4b74","403","https://cav.ccsm.org.co/","cloudflare","a25dcf979aaf82f8-IAD","SI","SI","max-age=31536000; includeSubDomains","SI","DENY","SI","nosniff","SI","default-src 'none'; script-src 'nonce-XOjwo1OrfZRn4xAx5mcBgm' 'unsafe-eval' https://challenges.cloudflare.com; script-src-attr 'none'; style-src 'unsafe-inline'; img-src 'self' https://challenges.cloudflare.com; connect-src 'self' https://challenges.cloudflare.com; frame-src 'self' https://challenges.cloudflare.com blob:; child-src 'self' https://challenges.cloudflare.com blob:; worker-src blob:; form-action http: https:; base-uri 'self'","SI","same-origin","SI","accelerometer=(),camera=(),clipboard-read=(),clipboard-write=(),geolocation=(),gyroscope=(),hid=(),magnetometer=(),microphone=(),payment=(),publickey-credentials-get=(),screen-wake-lock=(),serial=(),sync-xhr=(),usb=(),xr-spatial-tracking=*","0","","NO_CONCLUYENTE_HTTP",""
"2026-08-04T13:11:57+00:00","V-08","cav.ccsm.org.co","ORIGEN","NO_PROVISTO","","","172.67.75.116;104.26.11.79;104.26.10.79;2606:4700:20::681a:a4f;2606:4700:20::681a:b4f;2606:4700:20::ac43:4b74","403","https://cav.ccsm.org.co/","Apache","","NO","","","","","","","","","","","","","6","Strict-Transport-Security;X-Frame-Options;X-Content-Type-Options;Content-Security-Policy;Referrer-Policy;Permissions-Policy","NO_CONCLUYENTE_HTTP",""
"2026-08-04T13:11:57+00:00","V-09","api.ccsm.org.co","PUBLICO","NO_PROVISTO","","","104.26.10.79;104.26.11.79;172.67.75.116;2606:4700:20::681a:a4f;2606:4700:20::681a:b4f;2606:4700:20::ac43:4b74","403","https://api.ccsm.org.co/","cloudflare","a25dcf99af5e21db-IAD","SI","SI","max-age=31536000; includeSubDomains","SI","DENY","SI","nosniff","SI","default-src 'none'; script-src 'nonce-nuMLsrYF3vKdBQy4Eh1MKO' 'unsafe-eval' https://challenges.cloudflare.com; script-src-attr 'none'; style-src 'unsafe-inline'; img-src 'self' https://challenges.cloudflare.com; connect-src 'self' https://challenges.cloudflare.com; frame-src 'self' https://challenges.cloudflare.com blob:; child-src 'self' https://challenges.cloudflare.com blob:; worker-src blob:; form-action http: https:; base-uri 'self'","SI","same-origin","SI","accelerometer=(),camera=(),clipboard-read=(),clipboard-write=(),geolocation=(),gyroscope=(),hid=(),magnetometer=(),microphone=(),payment=(),publickey-credentials-get=(),screen-wake-lock=(),serial=(),sync-xhr=(),usb=(),xr-spatial-tracking=*","0","","NO_CONCLUYENTE_HTTP",""
"2026-08-04T13:11:57+00:00","V-09","api.ccsm.org.co","ORIGEN","NO_PROVISTO","","","104.26.11.79;104.26.10.79;172.67.75.116;2606:4700:20::681a:a4f;2606:4700:20::ac43:4b74;2606:4700:20::681a:b4f","403","https://api.ccsm.org.co/","Apache","","NO","","","","","","","","","","","","","6","Strict-Transport-Security;X-Frame-Options;X-Content-Type-Options;Content-Security-Policy;Referrer-Policy;Permissions-Policy","NO_CONCLUYENTE_HTTP",""
